campaign,topology,case,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,terminal_mpa,pressure_margin_mpa,pass_fail,extra_inlet_loss_mpa
A1,uni,BI-3_defect_one_side,2560.0,0.529356,0,0.0,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,0,0.0,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,1,0.0,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,1,0.0,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,2,0.0,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,2,0.0,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,3,0.0,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,3,0.0,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,4,0.0,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,4,0.0,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,0,0.5,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,0,0.5,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,1,0.5,0.09951609881478377,-0.00048390118521624004,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,1,0.5,0.09018159178231741,-0.009818408217682595,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,2,0.5,0.0991448541553133,-0.0008551458446867111,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,2,0.5,0.08981034712284694,-0.010189652877153066,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,3,0.5,0.09887210297692686,-0.0011278970230731433,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,3,0.5,0.08953759594446051,-0.010462404055539498,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,4,0.5,0.0982021203889786,-0.0017978796110214024,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,4,0.5,0.08886761335651225,-0.011132386643487757,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,0,1.0,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,0,1.0,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,1,1.0,0.0989817686329579,-0.0010182313670420995,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,1,1.0,0.08964726160049155,-0.010352738399508454,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,2,1.0,0.09820142742802704,-0.0017985725719729673,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,2,1.0,0.08886692039556068,-0.011133079604439322,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,3,1.0,0.09762811552236353,-0.0023718844776364767,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,3,1.0,0.08829360848989717,-0.011706391510102832,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,4,1.0,0.09619867043896166,-0.003801329561038347,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,4,1.0,0.0868641634064953,-0.013135836593504702,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,0,1.5,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,0,1.5,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,1,1.5,0.09839182505387958,-0.001608174946120422,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,1,1.5,0.08905731802141323,-0.010942681978586777,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,2,1.5,0.09715980829621687,-0.002840191703783135,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,2,1.5,0.08782530126375052,-0.01217469873624949,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,3,1.5,0.09625465312732182,-0.0037453468726781902,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,3,1.5,0.08692014609485546,-0.013079853905144545,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,4,1.5,0.09396153419063139,-0.0060384658093686205,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,4,1.5,0.08462702715816503,-0.015372972841834975,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,0,2.0,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,0,2.0,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,1,2.0,0.09773917528652445,-0.002260824713475551,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,1,2.0,0.0884046682540581,-0.011595331745941906,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,2,2.0,0.0960074735507305,-0.003992526449269507,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,2,2.0,0.08667296651826414,-0.013327033481735862,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,3,2.0,0.09473520288769818,-0.005264797112301822,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,3,2.0,0.08540069585523183,-0.014599304144768177,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,4,2.0,0.0914565585197041,-0.008543441480295899,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,4,2.0,0.08212205148723775,-0.017877948512762254,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,0,2.5,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,0,2.5,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,1,2.5,0.09701564838387086,-0.002984351616129144,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,1,2.5,0.0876811413514045,-0.012318858648595499,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,2,2.5,0.09472999636323273,-0.005270003636767273,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,2,2.5,0.08539548933076638,-0.014604510669233628,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,3,2.5,0.09305074181745779,-0.006949258182542217,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,3,2.5,0.08371623478499143,-0.016283765215008572,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,4,2.5,0.08864349614408809,-0.011356503855911915,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,4,2.5,0.07930898911162174,-0.02069101088837827,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,0,3.0,0.10000098979858194,9.897985819296018e-07,PASS,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,0,3.0,0.09066648276611558,-0.009333517233884425,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,1,3.0,0.09621180380875458,-0.00378819619124543,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,1,3.0,0.08687729677628822,-0.013122703223711785,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,2,3.0,0.09331070828529306,-0.006689291714706946,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,2,3.0,0.08397620125282665,-0.016023798747173357,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,3,3.0,0.09117929116601517,-0.008820708833984836,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,3,3.0,0.08184478413354876,-0.018155215866451246,FAIL,0.0
A1,uni,BI-3_defect_one_side,2560.0,0.529356,4,3.0,0.0854747030260424,-0.014525296973957602,FAIL,
A1,bi,BI-3_defect_one_side,2560.0,0.529356,4,3.0,0.076140195993576,-0.023859804006424012,FAIL,0.0
